(15000)
1 (6717)
3 (2723)
7 (2993)
8 (2819)
1 80 86 (1443)
9 80 86 (1441)
62 80 86 (1445)
3 80 86 (1445)
10 85 86 (1672)
8 85 86 (1672)
50 85 86 (1446)
79 85 86 (1674)
82 85 86 (1680)
1 85 86 (1677)
9 85 86 (1683)
62 85 86 (1689)
3 85 86 (1688)
8 10 86 (1672)
10 79 86 (1672)
10 82 86 (1672)
1 10 86 (1672)
9 10 86 (1672)
10 62 86 (1672)
3 10 86 (1672)
8 79 86 (1672)
8 82 86 (1672)
1 8 86 (1672)
8 9 86 (1672)
8 62 86 (1672)
3 8 86 (1672)
50 82 86 (1445)
1 50 86 (1441)
9 50 86 (1446)
50 62 86 (1448)
3 50 86 (1446)
79 82 86 (1673)
1 79 86 (1672)
9 79 86 (1674)
62 79 86 (1674)
3 79 86 (1673)
1 82 86 (1673)
9 82 86 (1678)
62 82 86 (1680)
3 82 86 (1679)
1 9 86 (1674)
1 62 86 (1677)
1 3 86 (1677)
9 62 86 (1687)
3 9 86 (1684)
3 62 86 (1690)
80 84 85 (1441)
50 80 84 (1441)
3 80 84 (1441)
10 84 85 (1675)
8 84 85 (1675)
50 84 85 (1444)
79 84 85 (1683)
82 84 85 (1682)
1 84 85 (1679)
9 84 85 (1677)
62 84 85 (1679)
3 84 85 (1687)
8 10 84 (1675)
10 50 84 (1441)
10 79 84 (1673)
10 82 84 (1672)
1 10 84 (1674)
9 10 84 (1675)
10 62 84 (1676)
3 10 84 (1677)
8 50 84 (1441)
8 79 84 (1673)
8 82 84 (1672)
1 8 84 (1672)
8 9 84 (1675)
8 62 84 (1674)
3 8 84 (1675)
50 79 84 (1442)
50 82 84 (1441)
9 50 84 (1443)
50 62 84 (1450)
3 50 84 (1449)
79 82 84 (1680)
1 79 84 (1679)
9 79 84 (1674)
62 79 84 (1676)
3 79 84 (1682)
1 82 84 (1679)
9 82 84 (1674)
62 82 84 (1675)
3 82 84 (1681)
1 9 84 (1672)
1 62 84 (1675)
1 3 84 (1684)
9 62 84 (1680)
3 9 84 (1681)
3 62 84 (1691)
50 80 85 (1458)
79 80 85 (1450)
80 82 85 (1441)
1 80 85 (1449)
9 80 85 (1457)
62 80 85 (1476)
3 80 85 (1482)
8 10 80 (1472)
10 50 80 (1442)
10 79 80 (1447)
1 10 80 (1461)
9 10 80 (1472)
10 62 80 (1450)
3 10 80 (1469)
8 50 80 (1442)
8 79 80 (1447)
1 8 80 (1461)
8 9 80 (1472)
8 62 80 (1451)
3 8 80 (1471)
50 79 80 (1457)
50 80 82 (1441)
1 50 80 (1454)
9 50 80 (1479)
50 62 80 (1483)
3 50 80 (1506)
79 80 82 (1442)
1 79 80 (1453)
9 79 80 (1475)
62 79 80 (1486)
3 79 80 (1492)
9 80 82 (1442)
62 80 82 (1443)
3 80 82 (1443)
1 9 80 (1485)
1 62 80 (1473)
1 3 80 (1529)
9 62 80 (1508)
3 9 80 (1545)
3 62 80 (1577)
62 92 151 (1443)
3 92 151 (1513)
3 62 151 (1525)
8 10 85 (1716)
10 50 85 (1449)
10 79 85 (1691)
10 82 85 (1672)
1 10 85 (1676)
9 10 85 (1717)
10 62 85 (1697)
3 10 85 (1710)
8 50 85 (1452)
8 79 85 (1691)
8 82 85 (1672)
1 8 85 (1676)
8 9 85 (1719)
8 62 85 (1700)
3 8 85 (1713)
50 79 85 (1478)
50 82 85 (1447)
1 50 85 (1465)
9 50 85 (1515)
50 62 85 (1574)
3 50 85 (1595)
79 82 85 (1681)
1 79 85 (1692)
9 79 85 (1735)
62 79 85 (1753)
3 79 85 (1766)
1 82 85 (1680)
9 82 85 (1679)
62 82 85 (1683)
3 82 85 (1688)
1 9 85 (1693)
1 62 85 (1750)
1 3 85 (1820)
9 62 85 (1827)
3 9 85 (1844)
3 62 85 (1996)
15 16 17 (1674)
14 15 16 (1517)
14 15 17 (1543)
3 14 15 (1619)
8 10 50 (1559)
8 10 79 (2022)
8 10 82 (1674)
1 8 10 (2077)
8 9 10 (2646)
8 10 62 (1970)
3 8 10 (2416)
10 50 79 (1476)
1 10 50 (1499)
9 10 50 (1561)
10 50 62 (1535)
3 10 50 (1548)
10 79 82 (1674)
1 10 79 (1782)
9 10 79 (2059)
10 62 79 (1831)
3 10 79 (1923)
1 10 82 (1673)
9 10 82 (1674)
10 62 82 (1674)
3 10 82 (1673)
1 9 10 (2079)
1 10 62 (1808)
1 3 10 (2083)
9 10 62 (1973)
3 9 10 (2434)
3 10 62 (1925)
16 17 120 (1630)
8 50 79 (1480)
1 8 50 (1500)
8 9 50 (1565)
8 50 62 (1541)
3 8 50 (1552)
8 79 82 (1674)
1 8 79 (1782)
8 9 79 (2033)
8 62 79 (1836)
3 8 79 (1919)
1 8 82 (1673)
8 9 82 (1674)
8 62 82 (1674)
3 8 82 (1673)
1 8 9 (2102)
1 8 62 (1810)
1 3 8 (2110)
8 9 62 (1986)
3 8 9 (2491)
3 8 62 (1940)
50 79 82 (1441)
1 50 79 (1466)
9 50 79 (1533)
50 62 79 (1566)
3 50 79 (1578)
1 50 82 (1441)
9 50 82 (1444)
50 62 82 (1449)
3 50 82 (1447)
1 9 50 (1580)
1 50 62 (1697)
1 3 50 (1809)
9 50 62 (1756)
3 9 50 (1790)
3 50 62 (2065)
1 79 82 (1680)
9 79 82 (1677)
62 79 82 (1677)
3 79 82 (1683)
1 9 79 (1935)
